current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
d8fb/guo-jia-ya-xiang-fan,郭家鴨香飯,4.5/5,滿$200打95折,指定店家全館消費滿$200打95折,鴨肉飯,from $ 52$ 55,$ 55,1
d8fb/guo-jia-ya-xiang-fan,郭家鴨香飯,4.5/5,滿$200打95折,指定店家全館消費滿$200打95折,雞肉飯,from $ 52$ 55,$ 55,1
d8fb/guo-jia-ya-xiang-fan,郭家鴨香飯,4.5/5,滿$200打95折,指定店家全館消費滿$200打95折,燻鴨肉切盤,$ 95$ 100,$ 100,1
d8fb/guo-jia-ya-xiang-fan,郭家鴨香飯,4.5/5,滿$200打95折,指定店家全館消費滿$200打95折,蒜泥白肉,$ 57$ 60,$ 60,0
d8fb/guo-jia-ya-xiang-fan,郭家鴨香飯,4.5/5,滿$200打95折,指定店家全館消費滿$200打95折,燙鴨米血,$ 57$ 60,$ 60,1
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,紅燒牛肉麵,$ 139,NA,1
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,牛肉乾拌麵,$ 139,NA,0
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,牛肉炒麵,$ 125,NA,0
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,豬肉炒麵,$ 97,NA,0
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,蝦仁蛋炒飯,$ 97,NA,0
z2he/zhen-wei-niu-rou-mian-guan,珍味牛肉麵館,4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,肉絲蛋炒飯,$ 83,NA,0
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蝦仁蛋炒飯,$ 130,NA,1
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),龍膽石斑魚肉湯,$ 200,NA,1
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),海產粥,$ 130,NA,1
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),肉絲蛋炒飯,$ 90,NA,0
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),什錦炒麵,$ 130,NA,1
u4wf/yan-ji-xian-yu-tang-gao-xiong-shi-quan-dian,顏記鮮魚湯 (高雄十全店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鱸魚肉湯,$ 140,NA,0
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),紅燒牛肉麵套餐【獨家餐點】,from $ 135,NA,1
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),牛肉拌麵套餐【獨家餐點】,from $ 135,NA,1
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),沙茶牛肉燴飯套餐【獨家餐點】,$ 145,NA,1
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),空心菜【獨家餐點】,$ 70,NA,1
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),沙茶牛肉【獨家餐點】,$ 150,NA,0
jxr5/niu-lao-er-mian-guan,牛老二麵館,4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),牛肚【獨家餐點】,$ 100,NA,1
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,雙蛋牛肉炒飯,from $ 90,NA,0
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,雙蛋蝦仁炒飯,from $ 90,NA,1
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,雙蛋肉絲炒飯,from $ 70,NA,0
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,酥炸鹹豬飯,from $ 80,NA,1
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,鮮蝦雲吞湯,$ 70,NA,0
f6ty/a-sheng-shi-kuai-chao-mian-fan-dian,阿盛師快炒麵飯店,4.6/5,NA,NA,炒季節時蔬,$ 60,NA,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,椒麻雞腿飯(切塊),from $ 96$ 120,$ 120,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,香酥雞腿飯(切塊),from $ 96$ 120,$ 120,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,韓式部隊鍋,from $ 144$ 180,$ 180,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,義式香料嫩雞義大利麵,from $ 112$ 140,$ 140,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,義式香料嫩雞焗烤,from $ 124$ 155,$ 155,0
b2pb/pin-wei-wu,品味屋,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,品味牛肉焗烤,from $ 136$ 170,$ 170,0
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,"Chicken with Sesame Paste, Chili Oil and Peanut",$ 360,NA,1
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,Sauteed Pork Belly and Dried Tofu with Green Pepper and Chili Pepper,$ 280,NA,1
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,Sauteed Chicken with Plum and Plum Sauce,$ 280,NA,1
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,Stir-fried Pork Neck with White Water Snowflake and Golden Mushroom,$ 260,NA,1
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,Stir-fried Water Bamboo with Salted Egg Yolk,$ 240,NA,1
qagg/kai-fan-chuan-shi-tang-yi-xiang-shi-shang-guang-chang-dian,開飯川食堂 (義享時尚廣場店),4.8/5,NA,NA,Sauteed String Bean with Ground Pork and Garlic,$ 240,NA,0
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,大腸鍋,from $ 150,NA,0
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,泡菜鍋,from $ 150,NA,1
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,鴨血鍋,from $ 150,NA,1
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,牛肉鍋,from $ 150,NA,0
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,豬肉鍋,from $ 150,NA,0
j3qz/lao-shang-hai-chou-chou-guo-gao-xiong-zi-you-dian,老上海臭臭鍋 (高雄自由店),4.5/5,NA,NA,麻辣鍋,from $ 170,NA,0
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,楊州炒飯,from $ 120,NA,1
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,日式醬燒牛肉蛋炒飯,from $ 110,NA,0
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,蝦仁蛋炒飯,from $ 90,NA,0
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,蝦仁肉絲蛋炒飯,from $ 90,NA,0
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,黃金鮭魚蛋炒飯,from $ 90,NA,0
b9op/wu-shi-chao-fan,武士炒飯,4.6/5,NA,NA,肉絲蛋炒飯,from $ 80,NA,0
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻辣鴨血,from $ 70,NA,1
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻辣鴨血臭豆腐,from $ 90,NA,1
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),麻辣鴨血臭豆腐、麵條套餐,from $ 110,NA,0
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),牛肉豆腐鍋,from $ 159,NA,1
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),豬肉豆腐鍋,from $ 159,NA,1
z8no/tai-bei-jiang-ma-la-chou-dou-fu-huo-guo-dian-gao-xiong-yu-cheng-dian,台北江麻辣臭豆腐火鍋店 (高雄裕誠店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),大腸豬肚豆腐鍋,from $ 169,NA,1
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,鍋燒麵,from $ 77$ 81,$ 81,1
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,炒意麵,from $ 87$ 92,$ 92,1
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,炒泡麵,from $ 87$ 92,$ 92,1
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,排骨飯,from $ 87$ 92,$ 92,1
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,炸雞塊,$ 44$ 46,$ 46,0
t7cl/lao-qiong-hong-cha-zhuan-mai-dian,老瓊紅茶專賣店,4.7/5,滿$100打95折,指定店家全館消費滿$100打95折,薯條,$ 44$ 46,$ 46,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,雙寶牛肉麵,from $ 150,NA,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,牛肉麵,from $ 130,NA,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,酸辣湯,$ 45,NA,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,燙青菜,$ 40,NA,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,皮蛋豆腐,$ 40,NA,1
z6dc/chuan-ting-niu-rou-la-mian-xin-xing-ba-de-dian,川庭牛肉拉麵 (新興八德店),4.6/5,NA,NA,綜合滷味【熱】,$ 65,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Braised Pork Rice,$ 50,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Rice with Lard,$ 40,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Chicken Rice,$ 55,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Duck Rice,$ 65,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Pork Ball Rice,$ 75,NA,1
y0sk/san-lun-huai-jiu-rou-zao-fan-gao-xiong-wen-zhong-dian,三輪懷舊肉燥飯 (高雄文忠店),4.6/5,NA,NA,Salted Pork Rice,$ 75,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),豬肉套餐,$ 190,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),牛肉套餐,$ 200,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),羊肉套餐,$ 200,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞肉套餐,$ 200,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),香煎鱈魚套餐,$ 200,NA,1
g67z/da-ji-tie-ban-shao-gao-xiong-jiu-ru-dian,大吉鐵板燒 (高雄九如店),4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),沙朗牛肉套餐,$ 260,NA,1
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,招牌飯糰,from $ 35,NA,0
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,肉鬆飯糰,from $ 35,NA,0
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,鹹蛋飯糰,from $ 40,NA,0
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,卡啦雞飯糰,from $ 65,NA,0
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,鍋燒意麵,from $ 75,NA,1
z9xk/rui-si-fan-tuan-gao-xiong-dian,瑞斯飯糰 (高雄店),4.7/5,NA,NA,麥克雞塊,$ 35,NA,1
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蝦仁炒飯,from $ 90,NA,0
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),肉絲炒飯,from $ 90,NA,0
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),蔥爆肉絲蓋飯,from $ 130,NA,1
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),鍋燒海鮮意麵,from $ 90,NA,0
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),綜合煎,$ 100,NA,1
e9nz/mei-zhi-xiang-tai-wan-xiao-chi,美之鄉台灣小吃,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),煎魚肚,$ 140,NA,1
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,海產粥,$ 130,NA,1
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,鱸魚肉湯,$ 140,NA,0
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,海產湯,$ 120,NA,0
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,蒜苗炒肉,$ 160,NA,0
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,鍋燒意麵,$ 130,NA,0
v3mp/yan-ji-xian-yu-tang-gao-xiong-zi-you-dian,顏記鮮魚湯 (高雄自由店),4.6/5,NA,NA,鱸魚肉麵線,$ 150,NA,0
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),土魠魚焿,from $ 100,NA,1
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),赤肉焿,from $ 80,NA,1
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞肉飯,from $ 55,NA,1
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),肉燥飯,from $ 55,NA,1
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雞肉飯便當,$ 95,NA,1
s4jz/fu-cheng-huang-tu-tuo-yu-geng-ji-rou-fan,府城黃土魠魚羹 雞肉飯,4.7/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),炸土魠魚,$ 80,NA,0
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,肝連菜頭湯,$ 40$ 50,$ 50,1
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,高麗菜水餃【10粒】,$ 40$ 50,$ 50,0
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,韭菜水餃【10粒】,$ 40$ 50,$ 50,0
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,綜合水餃【10粒】,$ 40$ 50,$ 50,1
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,肉絲蛋炒飯,$ 48$ 60,$ 60,0
b1st/xiang-yi-shui-jiao,香姨水餃,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,香腸蛋炒飯,$ 56$ 70,$ 70,0
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,蔥爆牛肉蛋炒飯,from $ 81$ 90,$ 90,1
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,韓式辣泡菜蛋炒飯,from $ 81$ 90,$ 90,1
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,綜合蛋炒飯,from $ 81$ 90,$ 90,1
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,炒烏龍麵,from $ 81$ 90,$ 90,1
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,70元炒飯 + 貢丸蛋花湯,from $ 90$ 100,$ 100,0
r4as/cong-chao-fan,一聰炒飯,4.6/5,滿$50打9折,指定店家全館消費滿$50打9折！,90元炒飯 + 貢丸蛋花湯,from $ 108$ 120,$ 120,0
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,紅燒牛肉麵,from $ 135,NA,1
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,紅油抄手拌麵【乾麵】,from $ 90,NA,1
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,鮮肉大餛飩麵,from $ 85,NA,1
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,四川擔擔拌麵【乾麵】,from $ 75,NA,1
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,麻醬拌麵,from $ 65,NA,1
p3oe/jing-xiang-shi-shou-gong-mian-gao-xiong-re-he-dian,勁饗食手工麵 (高雄熱河店),4.7/5,滿$250折$30,指定店家全館滿$250現折$30,紅油抄手【無麵】,$ 85,NA,1
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),味噌鍋燒,from $ 90,NA,1
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),泡菜鍋燒,from $ 90,NA,1
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),咖哩鍋燒,from $ 90,NA,1
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),牛奶鍋燒,from $ 90,NA,0
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),豬排丼飯,$ 120,NA,1
v3jc/wu-guo-shao,舞鍋燒,4.5/5,指定餐點5折,指定餐點專區5折優惠(數量有限，售完為止，口味不得挑選。),唐揚雞丼飯,$ 120,NA,1
y1wd/mai-wei-deng-gao-xiong-he-di-ming-fu-dian,麥味登 (高雄河堤明福店),4.6/5,滿$250折$40,指定店家全館消費滿$250折$40,法式特餐,$ 75,NA,1
