current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_pic_list
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,家遇鮮海鮮鍋燒專賣 (高雄吉林店),4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),黃金豬排、小白菜【獨家餐點】,from $ 130,NA,1
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,家遇鮮海鮮鍋燒專賣 (高雄吉林店),4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),小卷鍋燒、小白菜【獨家餐點】,from $ 180,NA,1
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,家遇鮮海鮮鍋燒專賣 (高雄吉林店),4.5/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),雙倍雞排、小白菜【獨家餐點】,from $ 130,NA,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,法式招牌原味牛肉鍋,from $ 348,NA,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,野獅沙茶豬肉鍋,from $ 198,NA,0
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,野獅番茄豬肉鍋,from $ 248,NA,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,野獅藥膳豬肉鍋,from $ 268,NA,0
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,野獅起司牛奶豬肉鍋,from $ 318,NA,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,NA,NA,野獅麻辣豬肉鍋,from $ 318,NA,0
k1su/qian-feng-zi-zhu-can,前峰自助餐,4.6/5,線上付款享免費外送｜輸入【台灣加油】,輸入【台灣加油】滿$100使用線上付款享免費外送 (10/31前有效，每人限用5次，數量有限兌完為止),酥炸雞腿便當,$ 90,NA,1
